GeneName,ComparisonName,Log2FoldChange,PValue,AdjustedPValue
ENSG00000141505,RNA_M12e2.vs.RNA_M12WT,0.742765765,0.200090482,0.409470942
ENSG00000132535,RNA_M12e2.vs.RNA_M12WT,1.665102968,1.74E-06,0.000246154
ENSG00000072778,RNA_M12e2.vs.RNA_M12WT,0.318551694,0.012238298,0.076067219
ENSG00000004975,RNA_M12e2.vs.RNA_M12WT,0.249743882,0.190630578,0.397850938
ENSG00000040633,RNA_M12e2.vs.RNA_M12WT,0.154150222,0.143205185,0.335163612
ENSG00000170296,RNA_M12e2.vs.RNA_M12WT,0.408627932,0.086260678,0.246006385
ENSG00000175826,RNA_M12e2.vs.RNA_M12WT,0.02943479,0.854048796,0.926300315
ENSG00000170291,RNA_M12e2.vs.RNA_M12WT,0.055526105,0.728416706,0.852541028
ENSG00000181885,RNA_M12e2.vs.RNA_M12WT,-0.471121301,0.017101624,0.09382486
ENSG00000181856,RNA_M12e2.vs.RNA_M12WT,-0.074203885,0.738213951,0.858191788
ENSG00000006047,RNA_M12e2.vs.RNA_M12WT,-0.561876536,0.106736173,0.279259081
ENSG00000132507,RNA_M12e2.vs.RNA_M12WT,-0.241138611,0.150283816,0.344908206
ENSG00000132522,RNA_M12e2.vs.RNA_M12WT,0.168340184,0.561526263,0.740197137
ENSG00000215041,RNA_M12e2.vs.RNA_M12WT,0.107758191,0.505129227,0.696863324
ENSG00000072818,RNA_M12e2.vs.RNA_M12WT,0.008162401,0.982965939,0.992718144
ENSG00000213859,RNA_M12e2.vs.RNA_M12WT,0.080632744,0.624509925,0.784973725
ENSG00000174292,RNA_M12e2.vs.RNA_M12WT,0.486388668,0.023942963,0.114950804
ENSG00000187838,RNA_M12e2.vs.RNA_M12WT,-0.021237873,0.962997041,0.982710286
ENSG00000205544,RNA_M12e2.vs.RNA_M12WT,-0.690381967,0.025088837,0.118283688
ENSG00000169992,RNA_M12e2.vs.RNA_M12WT,0.642158175,0.002063981,0.025355351
ENSG00000181284,RNA_M12e2.vs.RNA_M12WT,-0.188025412,0.359087229,0.575131066
ENSG00000161958,RNA_M12e2.vs.RNA_M12WT,0.482343105,0.181313921,0.386036502
ENSG00000170175,RNA_M12e2.vs.RNA_M12WT,0.064521117,0.603157678,0.770625127
ENSG00000174282,RNA_M12e2.vs.RNA_M12WT,0.183080825,0.118969132,0.298379279
ENSG00000181222,RNA_M12e2.vs.RNA_M12WT,-0.701694676,5.35E-05,0.002275853
ENSG00000239697,RNA_M12e2.vs.RNA_M12WT,0.153737506,0.546194119,0.728988767
ENSG00000161955,RNA_M12e2.vs.RNA_M12WT,0.589992677,0.355167325,0.572579508
ENSG00000161956,RNA_M12e2.vs.RNA_M12WT,0.145312819,0.289642929,0.509009751
ENSG00000265500,RNA_M12e2.vs.RNA_M12WT,-0.578005605,0.168467266,0.369664348
ENSG00000161960,RNA_M12e2.vs.RNA_M12WT,-0.253723795,0.147112437,0.340615621
ENSG00000233223,RNA_M12e2.vs.RNA_M12WT,0.572694201,0.021871962,0.108811351
ENSG00000129255,RNA_M12e2.vs.RNA_M12WT,0.103110093,0.488264898,0.683274275
ENSG00000129194,RNA_M12e2.vs.RNA_M12WT,-0.071913024,0.921365456,0.961286039
ENSG00000129245,RNA_M12e2.vs.RNA_M12WT,0.308475234,0.025915505,0.120503416
ENSG00000141504,RNA_M12e2.vs.RNA_M12WT,0.272195057,0.060691819,0.200075196
ENSG00000141510,RNA_M12e2.vs.RNA_M12WT,0.511643452,0.000528735,0.010384882
ENSG00000262251,RNA_M12e2.vs.RNA_M12WT,0.31155633,0.14626519,0.339278865
ENSG00000141499,RNA_M12e2.vs.RNA_M12WT,0.058873382,0.71481372,0.844039986
ENSG00000183914,RNA_M12e2.vs.RNA_M12WT,-0.337524461,0.158190239,0.355046792
ENSG00000240480,RNA_M12e2.vs.RNA_M12WT,-0.303109404,0.088998828,0.249896496
ENSG00000132510,RNA_M12e2.vs.RNA_M12WT,0.896234962,0.000432607,0.009204423
ENSG00000183011,RNA_M12e2.vs.RNA_M12WT,0.126541653,0.709321863,0.841067321
ENSG00000182224,RNA_M12e2.vs.RNA_M12WT,-0.075033317,0.467735412,0.66657896
ENSG00000170004,RNA_M12e2.vs.RNA_M12WT,0.259099694,0.022889045,0.111720612
ENSG00000179859,RNA_M12e2.vs.RNA_M12WT,-0.05626327,0.85094243,0.925025474
ENSG00000170049,RNA_M12e2.vs.RNA_M12WT,0.108786433,0.724016104,0.849924101
ENSG00000170043,RNA_M12e2.vs.RNA_M12WT,0.060727099,0.679713961,0.821706279
ENSG00000170037,RNA_M12e2.vs.RNA_M12WT,0.295750872,0.042186687,0.160891013
ENSG00000262492,RNA_M12e2.vs.RNA_M12WT,0.3854752,0.288114639,0.508023029
ENSG00000132518,RNA_M12e2.vs.RNA_M12WT,-1.130706355,0.238655214,0.45429609
ENSG00000179477,RNA_M12e2.vs.RNA_M12WT,-0.096564035,0.810352378,0.900710404
ENSG00000214999,RNA_M12e2.vs.RNA_M12WT,0.563008652,0.035117389,0.143995282
ENSG00000179148,RNA_M12e2.vs.RNA_M12WT,-0.39526629,0.081563891,0.238038096
ENSG00000179094,RNA_M12e2.vs.RNA_M12WT,-0.653818387,0.009291306,0.064428931
ENSG00000220205,RNA_M12e2.vs.RNA_M12WT,-0.113820002,0.359212687,0.575179082
ENSG00000179029,RNA_M12e2.vs.RNA_M12WT,-0.394396954,0.072224128,0.221392037
ENSG00000196544,RNA_M12e2.vs.RNA_M12WT,0.313783774,0.345054079,0.564323616
ENSG00000178999,RNA_M12e2.vs.RNA_M12WT,0.125098238,0.363868152,0.579104965
ENSG00000178977,RNA_M12e2.vs.RNA_M12WT,0.964479889,0.03737163,0.149677035
ENSG00000269928,RNA_M12e2.vs.RNA_M12WT,0.641523032,0.109865232,0.28449084
ENSG00000178971,RNA_M12e2.vs.RNA_M12WT,-0.160469903,0.193882287,0.401946591
ENSG00000178921,RNA_M12e2.vs.RNA_M12WT,-0.239772318,0.062751049,0.203918093
ENSG00000269947,RNA_M12e2.vs.RNA_M12WT,0.296300683,0.228724218,0.443209587
ENSG00000125434,RNA_M12e2.vs.RNA_M12WT,0.03013949,0.875436881,0.938254708
ENSG00000108961,RNA_M12e2.vs.RNA_M12WT,-0.360563986,0.078110843,0.231431643
ENSG00000271029,RNA_M12e2.vs.RNA_M12WT,-0.09886415,0.768148272,0.876360132
ENSG00000198150,RNA_M12e2.vs.RNA_M12WT,0.686861568,0.018504494,0.098494234
ENSG00000184619,RNA_M12e2.vs.RNA_M12WT,1.60484219,0.004357858,0.040603743
ENSG00000161970,RNA_M12e2.vs.RNA_M12WT,0.08771601,0.577593859,0.751641223
ENSG00000166579,RNA_M12e2.vs.RNA_M12WT,0.355858428,0.010363146,0.068857423
ENSG00000133026,RNA_M12e2.vs.RNA_M12WT,0.003424917,0.978089178,0.990435119
ENSG00000244604,RNA_M12e2.vs.RNA_M12WT,0.087820343,0.668467716,0.814426798
ENSG00000141506,RNA_M12e2.vs.RNA_M12WT,-0.969708262,0.000886186,0.014607952
ENSG00000065320,RNA_M12e2.vs.RNA_M12WT,0.921947101,0.00270324,0.030270431
ENSG00000170310,RNA_M12e2.vs.RNA_M12WT,-0.374747708,0.010454886,0.06910544
ENSG00000271851,RNA_M12e2.vs.RNA_M12WT,0.027426209,0.905441691,0.952715372
ENSG00000154914,RNA_M12e2.vs.RNA_M12WT,-0.212001915,0.185500853,0.391473289
ENSG00000007237,RNA_M12e2.vs.RNA_M12WT,0.319148083,0.055174243,0.189024473
ENSG00000242692,RNA_M12e2.vs.RNA_M12WT,-0.725989924,0.03358752,0.140258102
ENSG00000109063,RNA_M12e2.vs.RNA_M12WT,-0.284843529,0.135463007,0.323635884
ENSG00000273290,RNA_M12e2.vs.RNA_M12WT,-0.350160038,0.089651594,0.251138958
ENSG00000133028,RNA_M12e2.vs.RNA_M12WT,-0.351792655,0.011614004,0.07373199
ENSG00000170222,RNA_M12e2.vs.RNA_M12WT,-0.421245452,0.014028889,0.082604534
ENSG00000264176,RNA_M12e2.vs.RNA_M12WT,0.067091263,0.826816742,0.910184264
ENSG00000154957,RNA_M12e2.vs.RNA_M12WT,-0.050224655,0.671658665,0.817043439
ENSG00000065559,RNA_M12e2.vs.RNA_M12WT,-0.359495184,0.008924001,0.062688231
ENSG00000263648,RNA_M12e2.vs.RNA_M12WT,-0.592726147,0.055632692,0.190064656
ENSG00000006740,RNA_M12e2.vs.RNA_M12WT,0.140103595,0.280563115,0.49923357
ENSG00000006744,RNA_M12e2.vs.RNA_M12WT,-0.291644709,0.006683137,0.052610622
ENSG00000236088,RNA_M12e2.vs.RNA_M12WT,-0.29405985,0.159583036,0.35703046
ENSG00000006695,RNA_M12e2.vs.RNA_M12WT,-0.351837622,0.004776246,0.042914114
ENSG00000231595,RNA_M12e2.vs.RNA_M12WT,-0.679498497,0.026661451,0.122308382
ENSG00000125430,RNA_M12e2.vs.RNA_M12WT,-1.095365658,0.001638734,0.021630631
ENSG00000266709,RNA_M12e2.vs.RNA_M12WT,-0.401936777,0.298331902,0.518680791
ENSG00000230897,RNA_M12e2.vs.RNA_M12WT,-0.42784004,0.265911434,0.484666524
ENSG00000109099,RNA_M12e2.vs.RNA_M12WT,0.124494582,0.23994916,0.455701943
ENSG00000125409,RNA_M12e2.vs.RNA_M12WT,-0.0403194,0.928486289,0.964990962
ENSG00000239704,RNA_M12e2.vs.RNA_M12WT,0.522428555,0.346049989,0.565125787
ENSG00000175106,RNA_M12e2.vs.RNA_M12WT,0.282059986,0.173577252,0.375962815
ENSG00000234324,RNA_M12e2.vs.RNA_M12WT,0.280831876,0.380552253,0.594009919
ENSG00000223878,RNA_M12e2.vs.RNA_M12WT,-0.206831364,0.038870218,0.153122334
ENSG00000223544,RNA_M12e2.vs.RNA_M12WT,0.18931053,0.393963073,0.605985489
ENSG00000221926,RNA_M12e2.vs.RNA_M12WT,-0.816518537,0.000484028,0.009851592
ENSG00000187607,RNA_M12e2.vs.RNA_M12WT,0.099482227,0.453192124,0.655408652
ENSG00000233966,RNA_M12e2.vs.RNA_M12WT,-0.03577659,0.91931298,0.960284329
ENSG00000214946,RNA_M12e2.vs.RNA_M12WT,-0.01070481,0.988019297,0.994910509
ENSG00000227018,RNA_M12e2.vs.RNA_M12WT,-0.740230676,0.1185764,0.297820854
ENSG00000179277,RNA_M12e2.vs.RNA_M12WT,1.110899707,0.00543766,0.046455447
ENSG00000170425,RNA_M12e2.vs.RNA_M12WT,-0.113864944,0.257442113,0.474533587
ENSG00000214941,RNA_M12e2.vs.RNA_M12WT,0.080228817,0.496271653,0.69012118
ENSG00000011295,RNA_M12e2.vs.RNA_M12WT,-0.093475479,0.332845426,0.551677237
ENSG00000141027,RNA_M12e2.vs.RNA_M12WT,-0.065904461,0.601700455,0.769300783
ENSG00000108474,RNA_M12e2.vs.RNA_M12WT,-0.055855367,0.616936545,0.780097256
ENSG00000166582,RNA_M12e2.vs.RNA_M12WT,0.19926471,0.089469809,0.250915998
ENSG00000170315,RNA_M12e2.vs.RNA_M12WT,0.079639523,0.536979099,0.722087257
ENSG00000265401,RNA_M12e2.vs.RNA_M12WT,-0.651957044,0.174505736,0.377035786
ENSG00000265095,RNA_M12e2.vs.RNA_M12WT,-0.71697454,0.187146301,0.393302984
ENSG00000187688,RNA_M12e2.vs.RNA_M12WT,0.180087169,0.560212149,0.739229043
ENSG00000175061,RNA_M12e2.vs.RNA_M12WT,0.104394722,0.313818972,0.533470524
ENSG00000181350,RNA_M12e2.vs.RNA_M12WT,0.367252022,0.097051348,0.263430835
ENSG00000235554,RNA_M12e2.vs.RNA_M12WT,0.061950952,0.748590699,0.865105472
ENSG00000197566,RNA_M12e2.vs.RNA_M12WT,0.19227389,0.400957921,0.611531564
ENSG00000231458,RNA_M12e2.vs.RNA_M12WT,0.284126213,0.23911468,0.454629694
ENSG00000170160,RNA_M12e2.vs.RNA_M12WT,-0.340949591,0.618634587,0.781221114
ENSG00000226478,RNA_M12e2.vs.RNA_M12WT,0.343930215,0.191336018,0.398857009
ENSG00000226145,RNA_M12e2.vs.RNA_M12WT,0.102558162,0.89999748,0.950601829
ENSG00000205312,RNA_M12e2.vs.RNA_M12WT,1.197790957,0.073285836,0.223165702
ENSG00000260328,RNA_M12e2.vs.RNA_M12WT,0.311772171,0.231098321,0.446062996
ENSG00000133030,RNA_M12e2.vs.RNA_M12WT,0.461739741,0.000340113,0.007731671
ENSG00000179598,RNA_M12e2.vs.RNA_M12WT,-0.680899339,0.00018062,0.005178921
ENSG00000154803,RNA_M12e2.vs.RNA_M12WT,0.115981132,0.452235323,0.65450991
ENSG00000226359,RNA_M12e2.vs.RNA_M12WT,0.089906661,0.835144661,0.915248091
ENSG00000141030,RNA_M12e2.vs.RNA_M12WT,-0.189766373,0.05898573,0.196427196
ENSG00000205309,RNA_M12e2.vs.RNA_M12WT,-0.142776591,0.523471843,0.711868065
ENSG00000215030,RNA_M12e2.vs.RNA_M12WT,0.134264523,0.649869285,0.801210384
ENSG00000230865,RNA_M12e2.vs.RNA_M12WT,-0.078797793,0.707808319,0.840180659
ENSG00000141026,RNA_M12e2.vs.RNA_M12WT,0.071428894,0.606483291,0.772549343
ENSG00000133027,RNA_M12e2.vs.RNA_M12WT,-0.052136559,0.854922438,0.926826526
ENSG00000108557,RNA_M12e2.vs.RNA_M12WT,0.615217908,0.01251009,0.077002216
ENSG00000072310,RNA_M12e2.vs.RNA_M12WT,-0.059925264,0.814678367,0.902894584
ENSG00000175662,RNA_M12e2.vs.RNA_M12WT,0.58352357,0.009426214,0.06502995
ENSG00000171962,RNA_M12e2.vs.RNA_M12WT,0.479444587,0.183247541,0.388133825
ENSG00000171953,RNA_M12e2.vs.RNA_M12WT,-0.079160597,0.528312233,0.715865718
ENSG00000141034,RNA_M12e2.vs.RNA_M12WT,-0.054101223,0.654662767,0.804494238
ENSG00000108591,RNA_M12e2.vs.RNA_M12WT,0.009222664,0.946853596,0.97453355
ENSG00000091536,RNA_M12e2.vs.RNA_M12WT,0.207624905,0.437889728,0.642868179
ENSG00000091542,RNA_M12e2.vs.RNA_M12WT,0.30608827,0.017089337,0.093786626
ENSG00000131899,RNA_M12e2.vs.RNA_M12WT,-0.02795294,0.916285623,0.95911138
ENSG00000177731,RNA_M12e2.vs.RNA_M12WT,-0.060056754,0.618085457,0.780745802
ENSG00000177427,RNA_M12e2.vs.RNA_M12WT,0.24626596,0.236863418,0.45223564
ENSG00000177302,RNA_M12e2.vs.RNA_M12WT,0.070953825,0.472518042,0.670649111
ENSG00000176994,RNA_M12e2.vs.RNA_M12WT,-0.477164683,0.020924403,0.105802838
ENSG00000267350,RNA_M12e2.vs.RNA_M12WT,-0.397146885,0.022247995,0.109902635
ENSG00000176974,RNA_M12e2.vs.RNA_M12WT,-0.261415857,0.030986197,0.133343398
ENSG00000214860,RNA_M12e2.vs.RNA_M12WT,1.448015783,0.090920126,0.253393908
ENSG00000205266,RNA_M12e2.vs.RNA_M12WT,1.293182847,0.116966615,0.295488483
ENSG00000230662,RNA_M12e2.vs.RNA_M12WT,-0.229100691,0.176210245,0.379323261
ENSG00000227689,RNA_M12e2.vs.RNA_M12WT,-0.017404156,0.912685269,0.956767832
ENSG00000227077,RNA_M12e2.vs.RNA_M12WT,0.564142354,0.089344507,0.250687924
ENSG00000174977,RNA_M12e2.vs.RNA_M12WT,0.340276719,0.024874101,0.1177518
ENSG00000249459,RNA_M12e2.vs.RNA_M12WT,0.109488282,0.439113563,0.643890293
ENSG00000264885,RNA_M12e2.vs.RNA_M12WT,0.775970535,0.015700461,0.08878606
ENSG00000240445,RNA_M12e2.vs.RNA_M12WT,0.301945265,0.4347396,0.640179973
ENSG00000224126,RNA_M12e2.vs.RNA_M12WT,0.320065475,0.302866484,0.523229889
ENSG00000108448,RNA_M12e2.vs.RNA_M12WT,-0.453723527,0.001675202,0.021925678
ENSG00000171931,RNA_M12e2.vs.RNA_M12WT,0.165002767,0.584800822,0.756857732
ENSG00000171928,RNA_M12e2.vs.RNA_M12WT,-0.064339579,0.585255124,0.757196224
ENSG00000141127,RNA_M12e2.vs.RNA_M12WT,0.087213939,0.424168229,0.630848926
ENSG00000235672,RNA_M12e2.vs.RNA_M12WT,0.119546568,0.658061088,0.806852977
ENSG00000188522,RNA_M12e2.vs.RNA_M12WT,-0.006032297,0.96924148,0.985980627
ENSG00000265185,RNA_M12e2.vs.RNA_M12WT,-0.55220561,0.268848662,0.486719334
ENSG00000262202,RNA_M12e2.vs.RNA_M12WT,2.223936351,0.008411162,0.060283984
ENSG00000263934,RNA_M12e2.vs.RNA_M12WT,-0.037322594,0.922911673,0.962354437
ENSG00000072134,RNA_M12e2.vs.RNA_M12WT,-0.022318595,0.825220103,0.909497112
ENSG00000265263,RNA_M12e2.vs.RNA_M12WT,0.360278363,0.193755293,0.401725717
ENSG00000108641,RNA_M12e2.vs.RNA_M12WT,0.086154015,0.669717514,0.815342571
ENSG00000166484,RNA_M12e2.vs.RNA_M12WT,0.291276868,0.215863491,0.428446521
ENSG00000128482,RNA_M12e2.vs.RNA_M12WT,-1.873784087,0.075950909,0.228048061
ENSG00000189343,RNA_M12e2.vs.RNA_M12WT,-0.172059878,0.252213123,0.469199759
ENSG00000228331,RNA_M12e2.vs.RNA_M12WT,0.029564672,0.774463644,0.879722409
ENSG00000266079,RNA_M12e2.vs.RNA_M12WT,-1.54182862,0.011151487,0.071953465
ENSG00000266179,RNA_M12e2.vs.RNA_M12WT,0.447209674,0.36199992,0.577716517
ENSG00000271900,RNA_M12e2.vs.RNA_M12WT,0.784842161,0.094911927,0.259899026
ENSG00000072210,RNA_M12e2.vs.RNA_M12WT,-0.126490863,0.235983277,0.451485247
ENSG00000108602,RNA_M12e2.vs.RNA_M12WT,-0.151013415,0.610078172,0.775351524
ENSG00000083290,RNA_M12e2.vs.RNA_M12WT,-0.167825382,0.188722346,0.395296534
ENSG00000270091,RNA_M12e2.vs.RNA_M12WT,0.684754941,0.138380508,0.328471313
ENSG00000108599,RNA_M12e2.vs.RNA_M12WT,-0.022883568,0.828978561,0.911499444
ENSG00000128487,RNA_M12e2.vs.RNA_M12WT,0.06019394,0.57163603,0.74800155
ENSG00000225014,RNA_M12e2.vs.RNA_M12WT,-0.499399543,0.041366783,0.158781508
ENSG00000154898,RNA_M12e2.vs.RNA_M12WT,-0.461459613,0.223894607,0.437085178
ENSG00000214832,RNA_M12e2.vs.RNA_M12WT,0.512685076,0.062501846,0.203412862
ENSG00000189423,RNA_M12e2.vs.RNA_M12WT,-0.230690145,0.225379266,0.439072699
ENSG00000229586,RNA_M12e2.vs.RNA_M12WT,-0.368126155,0.090657417,0.252854633
ENSG00000188013,RNA_M12e2.vs.RNA_M12WT,0.354669813,0.144731496,0.33712895
ENSG00000235546,RNA_M12e2.vs.RNA_M12WT,0.740477133,0.051277475,0.181042761
ENSG00000264874,RNA_M12e2.vs.RNA_M12WT,-0.575381879,0.090755954,0.253057593
ENSG00000226521,RNA_M12e2.vs.RNA_M12WT,-0.15704788,0.245582915,0.461821944
ENSG00000187870,RNA_M12e2.vs.RNA_M12WT,0.138471867,0.642670624,0.79651185
ENSG00000213671,RNA_M12e2.vs.RNA_M12WT,0.121305519,0.40155608,0.612151736
ENSG00000226549,RNA_M12e2.vs.RNA_M12WT,-0.423021524,0.162487256,0.361346489
ENSG00000264215,RNA_M12e2.vs.RNA_M12WT,-0.567719678,0.002098042,0.025690555
ENSG00000226981,RNA_M12e2.vs.RNA_M12WT,0.48681967,0.435121162,0.640423343
ENSG00000233098,RNA_M12e2.vs.RNA_M12WT,0.78143203,0.073439852,0.223494286
ENSG00000265790,RNA_M12e2.vs.RNA_M12WT,-0.230208439,0.552897735,0.734066328
ENSG00000124422,RNA_M12e2.vs.RNA_M12WT,0.366758505,0.003911637,0.037902544
ENSG00000109016,RNA_M12e2.vs.RNA_M12WT,0.243139709,0.117946425,0.297167008
ENSG00000178307,RNA_M12e2.vs.RNA_M12WT,-0.016828083,0.900979841,0.950996617
ENSG00000235530,RNA_M12e2.vs.RNA_M12WT,-0.156215194,0.701258589,0.836402618
ENSG00000154035,RNA_M12e2.vs.RNA_M12WT,0.661107949,0.024930831,0.117907632
ENSG00000266563,RNA_M12e2.vs.RNA_M12WT,0.709490802,0.254419727,0.471242726
ENSG00000034152,RNA_M12e2.vs.RNA_M12WT,-0.003810562,0.982511963,0.992536044
ENSG00000184185,RNA_M12e2.vs.RNA_M12WT,0.484133685,0.034438186,0.142100928
ENSG00000244582,RNA_M12e2.vs.RNA_M12WT,-0.070224134,0.485451631,0.681178852
ENSG00000212719,RNA_M12e2.vs.RNA_M12WT,0.115077201,0.381428946,0.594516434
ENSG00000263563,RNA_M12e2.vs.RNA_M12WT,0.114042087,0.359821258,0.575931003
ENSG00000256618,RNA_M12e2.vs.RNA_M12WT,0.21497308,0.100369793,0.268797805
ENSG00000240103,RNA_M12e2.vs.RNA_M12WT,0.242988229,0.599106863,0.767543163
ENSG00000264316,RNA_M12e2.vs.RNA_M12WT,0.533647474,0.182541347,0.387431877
ENSG00000264970,RNA_M12e2.vs.RNA_M12WT,0.886696849,0.108462842,0.281926472
ENSG00000265646,RNA_M12e2.vs.RNA_M12WT,-0.071256465,0.80898845,0.899889118
ENSG00000239223,RNA_M12e2.vs.RNA_M12WT,-0.41751758,0.023464707,0.113521571
ENSG00000109046,RNA_M12e2.vs.RNA_M12WT,0.400462775,0.0078901,0.058200814
ENSG00000264469,RNA_M12e2.vs.RNA_M12WT,0.72241153,0.031006047,0.133374893
ENSG00000265683,RNA_M12e2.vs.RNA_M12WT,-0.191801874,0.497439883,0.691011864
ENSG00000266356,RNA_M12e2.vs.RNA_M12WT,0.178021236,0.441097433,0.645363942
ENSG00000141068,RNA_M12e2.vs.RNA_M12WT,0.444651331,0.012015445,0.075229631
ENSG00000263368,RNA_M12e2.vs.RNA_M12WT,0.243162354,0.730585341,0.853575857
ENSG00000168961,RNA_M12e2.vs.RNA_M12WT,2.717910485,0.000133028,0.004227844
ENSG00000232859,RNA_M12e2.vs.RNA_M12WT,0.0732843,0.711009901,0.841870356
ENSG00000087095,RNA_M12e2.vs.RNA_M12WT,0.082286535,0.479028768,0.675662767
ENSG00000260777,RNA_M12e2.vs.RNA_M12WT,1.255492013,0.025360733,0.119100904
ENSG00000265480,RNA_M12e2.vs.RNA_M12WT,0.614831864,0.127399468,0.311872463
ENSG00000109084,RNA_M12e2.vs.RNA_M12WT,-0.036686147,0.685360313,0.825433033
ENSG00000109083,RNA_M12e2.vs.RNA_M12WT,0.17539642,0.258598775,0.475856993
ENSG00000109079,RNA_M12e2.vs.RNA_M12WT,0.224944812,0.062597769,0.20359046
ENSG00000004142,RNA_M12e2.vs.RNA_M12WT,-0.162954087,0.145170214,0.337590358
ENSG00000244045,RNA_M12e2.vs.RNA_M12WT,0.123767321,0.287006065,0.50676467
ENSG00000004139,RNA_M12e2.vs.RNA_M12WT,-1.079624732,0.00414583,0.03941348
ENSG00000076351,RNA_M12e2.vs.RNA_M12WT,-0.37383073,0.011318217,0.072623687
ENSG00000265254,RNA_M12e2.vs.RNA_M12WT,-0.218085224,0.618770525,0.781221114
ENSG00000258472,RNA_M12e2.vs.RNA_M12WT,0.548770438,0.146994994,0.340503442
ENSG00000183405,RNA_M12e2.vs.RNA_M12WT,-0.030799367,0.764819692,0.874242293
ENSG00000109103,RNA_M12e2.vs.RNA_M12WT,0.096776629,0.546020279,0.728905342
ENSG00000087111,RNA_M12e2.vs.RNA_M12WT,-0.037455475,0.777310543,0.880826375
ENSG00000109107,RNA_M12e2.vs.RNA_M12WT,0.116910456,0.511105082,0.701959066
ENSG00000076382,RNA_M12e2.vs.RNA_M12WT,-0.036061532,0.688063837,0.826964988
ENSG00000227543,RNA_M12e2.vs.RNA_M12WT,0.420967094,0.343145237,0.562064516
ENSG00000264608,RNA_M12e2.vs.RNA_M12WT,0.157123191,0.597076509,0.766031727
ENSG00000167524,RNA_M12e2.vs.RNA_M12WT,-0.625261505,0.114635579,0.292107915
ENSG00000007202,RNA_M12e2.vs.RNA_M12WT,-0.411251393,0.002045296,0.025203262
ENSG00000132581,RNA_M12e2.vs.RNA_M12WT,0.369593864,0.005629382,0.047406443
ENSG00000109111,RNA_M12e2.vs.RNA_M12WT,0.278578901,0.010921873,0.071055486
ENSG00000167525,RNA_M12e2.vs.RNA_M12WT,1.540980403,0.007429547,0.05623357
ENSG00000109113,RNA_M12e2.vs.RNA_M12WT,-0.873341341,0.036666955,0.148001576
ENSG00000198242,RNA_M12e2.vs.RNA_M12WT,-0.071737376,0.437338876,0.642599662
ENSG00000264577,RNA_M12e2.vs.RNA_M12WT,-0.107404187,0.801326347,0.895779783
ENSG00000238578,RNA_M12e2.vs.RNA_M12WT,0.07094275,0.793385756,0.891198055
ENSG00000160606,RNA_M12e2.vs.RNA_M12WT,0.038064934,0.749728732,0.866083616
ENSG00000160602,RNA_M12e2.vs.RNA_M12WT,0.137384294,0.503724647,0.695854254
ENSG00000076604,RNA_M12e2.vs.RNA_M12WT,0.058748597,0.778914,0.881919057
ENSG00000173065,RNA_M12e2.vs.RNA_M12WT,0.077973014,0.480383546,0.676771649
ENSG00000132591,RNA_M12e2.vs.RNA_M12WT,-0.271385183,0.066692848,0.21137877
ENSG00000132589,RNA_M12e2.vs.RNA_M12WT,0.255694736,0.164884881,0.364984103
ENSG00000167536,RNA_M12e2.vs.RNA_M12WT,-0.176903849,0.413888093,0.622085978
ENSG00000109118,RNA_M12e2.vs.RNA_M12WT,0.494655292,0.000601037,0.011285827
ENSG00000179761,RNA_M12e2.vs.RNA_M12WT,-0.061728463,0.864136798,0.932401849
ENSG00000263781,RNA_M12e2.vs.RNA_M12WT,0.199923291,0.365555405,0.580578172
ENSG00000196535,RNA_M12e2.vs.RNA_M12WT,0.476328153,0.002442134,0.028248501
ENSG00000221995,RNA_M12e2.vs.RNA_M12WT,0.067764107,0.767578483,0.87610466
ENSG00000178082,RNA_M12e2.vs.RNA_M12WT,-0.287101728,0.09738832,0.263956274
ENSG00000108256,RNA_M12e2.vs.RNA_M12WT,-0.307616683,0.055920668,0.190650552
ENSG00000160551,RNA_M12e2.vs.RNA_M12WT,-0.024240743,0.893217385,0.946882488
ENSG00000168792,RNA_M12e2.vs.RNA_M12WT,0.006800378,0.957355296,0.979946995
ENSG00000167543,RNA_M12e2.vs.RNA_M12WT,0.559498051,0.207505995,0.418055724
ENSG00000264290,RNA_M12e2.vs.RNA_M12WT,0.440897688,0.425897813,0.63208848
ENSG00000108262,RNA_M12e2.vs.RNA_M12WT,0.093769544,0.645488395,0.798521448
ENSG00000198720,RNA_M12e2.vs.RNA_M12WT,0.242136229,0.144694518,0.33711032
ENSG00000167549,RNA_M12e2.vs.RNA_M12WT,-0.373680619,0.053201069,0.184974721
ENSG00000141298,RNA_M12e2.vs.RNA_M12WT,-0.21166874,0.13578112,0.324200947
ENSG00000264435,RNA_M12e2.vs.RNA_M12WT,-0.924251878,0.153775751,0.349451525
ENSG00000266876,RNA_M12e2.vs.RNA_M12WT,-0.578819694,0.003610899,0.036221041
ENSG00000126653,RNA_M12e2.vs.RNA_M12WT,0.147784343,0.433035961,0.638516714
ENSG00000108576,RNA_M12e2.vs.RNA_M12WT,-0.74992504,0.110848764,0.285869298
ENSG00000108578,RNA_M12e2.vs.RNA_M12WT,-0.207601627,0.03862002,0.152653616
ENSG00000108582,RNA_M12e2.vs.RNA_M12WT,0.078561849,0.564701249,0.742687176
ENSG00000108587,RNA_M12e2.vs.RNA_M12WT,0.114009937,0.32273017,0.542429946
ENSG00000214719,RNA_M12e2.vs.RNA_M12WT,0.450812402,0.272990539,0.491421041
